instnm,Applicants total (ADM2015),
ITT Technical Institute-Omaha,150,
ITT Technical Institute-Orange,195,
ITT Technical Institute-Orland Park,237,
ITT Technical Institute-Owings Mills,191,
ITT Technical Institute-Oxnard,99,
ITT Technical Institute-Pensacola,136,
ITT Technical Institute-Philadelphia,384,
ITT Technical Institute-Phoenix,104,
ITT Technical Institute-Phoenix West,137,
ITT Technical Institute-Pittsburgh,88,
ITT Technical Institute-Plymouth Meeting,128,
ITT Technical Institute-Portland,211,
ITT Technical Institute-Rancho Cordova,161,
ITT Technical Institute-Richardson,324,
ITT Technical Institute-Richmond,235,
ITT Technical Institute-Saint Rose,223,
ITT Technical Institute-Salem,192,
ITT Technical Institute-Salem,58,
ITT Technical Institute-San Antonio,191,
ITT Technical Institute-San Antonio East,112,
ITT Technical Institute-San Bernardino,217,
ITT Technical Institute-San Dimas,202,
ITT Technical Institute-Seattle,137,
ITT Technical Institute-South Bend,69,
ITT Technical Institute-Spokane Valley,113,
ITT Technical Institute-Springfield,321,
ITT Technical Institute-Springfield,93,
ITT Technical Institute-Springfield,54,
ITT Technical Institute-Strongsville,135,
ITT Technical Institute-Swartz Creek,141,
ITT Technical Institute-Sylmar,217,
ITT Technical Institute-Tallahassee,132,
ITT Technical Institute-Tampa,386,
ITT Technical Institute-Tarentum,50,
ITT Technical Institute-Tempe,152,
ITT Technical Institute-Torrance,248,
ITT Technical Institute-Troy,218,
ITT Technical Institute-Tucson,137,
ITT Technical Institute-Tulsa,191,
ITT Technical Institute-Waco,71,
ITT Technical Institute-Warrensville Heights,225,
ITT Technical Institute-Webster,181,
ITT Technical Institute-West Palm Beach,197,
ITT Technical Institute-Westminster,59,
ITT Technical Institute-Wichita,91,
ITT Technical Institute-Wilmington,108,
ITT Technical Institute-Wyoming,114,
ITT Technical Institute-Youngstown,174,
Jackson State University,8035,
Jacksonville State University,3085,
Jacksonville University,3803,
James Madison University,21439,
Jamestown Business College,129,
Jefferson County Dubois Area Vocational Technical Practical Nursing Program,10,
Jefferson Lewis BOCES-Practical Nursing Program,17,
Jersey College,176,
Jewish Theological Seminary of America,106,
JFK Muhlenberg Harold B & Dorothy A Snyder Schools-School of Imaging,3,
JFK Muhlenberg Harold B & Dorothy A Snyder Schools-School of Nursing,9,
Joe Kubert School of Cartoon and Graphic Art,72,
Joffrey Ballet School,4748,
John A Gupton College,64,
John Brown University,1166,
John Carroll University,4087,
John Paul the Great Catholic University,122,
John Wesley University,104,
Johns Hopkins University,25474,
Johnson & Wales University-Charlotte,4537,
Johnson & Wales University-Denver,2319,
Johnson & Wales University-North Miami,4049,
Johnson & Wales University-Online,11,
Johnson & Wales University-Providence,11971,
Johnson C Smith University,4346,
Johnson College,695,
Johnson State College,850,
